fixation_id,aoi_id,start_ms,end_ms,duration_ms,mean_x,mean_y,sample_count
1,R3C1,590.7352999929572,7378.864099999191,6788.128800006234,329.39958306855453,654.012371019079,27
2,R2C2,7883.153599992511,10968.033400000422,3084.8798000079114,755.6135086909843,370.88336446122474,13
3,R3C2,11203.410299989628,12484.753299999284,1281.343000009656,644.0721862075167,597.6488523531922,6
4,R3C3,12716.182399992249,15277.18069999537,2560.9983000031207,1105.58757143788,634.3396505252707,11
5,R2C3,15518.813399990904,17809.912700002315,2291.0993000114104,1061.7324068413184,450.7531469395451,9
6,R2C2,18079.813899996225,18345.638499988127,265.8245999919018,621.5761568615862,415.40395287063393,2
7,R1C1,18821.11759998952,20366.872799990233,1545.7552000007126,38.39151668179354,154.36994864824442,7
8,R2C1,20622.260299991467,21399.197799997637,776.93750000617,73.17750303091668,373.90479127719533,4
9,R2C2,21887.60829999228,22120.257299990044,232.6489999977639,649.1529944309943,452.17835417956746,2
10,R2C3,22356.248899988714,22588.344599993434,232.09570000472013,998.2464951646216,325.8414689354096,2
11,R1C3,22854.457399997045,23679.599999988568,825.1425999915227,1196.803170778832,208.88731150046496,4
12,R2C3,23925.660799999605,25299.166400000104,1373.5056000004988,1071.81104437502,382.0292765125982,6
13,R2C2,25545.34519999288,25809.702400001697,264.357200008817,732.568130924649,299.25232886716526,2
14,R1C2,26054.059599991888,27298.57980000088,1244.520200008992,701.6168639623901,152.5222129875648,6
15,R2C3,27566.07659999281,28110.344000000623,544.2674000078114,948.7908886377336,341.6821979810843,3
16,R3C3,28378.274999995483,28957.37449999433,579.099499998847,1077.534172402012,514.0312494924389,3
17,R2C3,29190.27589999314,30486.418200001935,1296.1423000087962,1044.5470331368997,320.76378667405106,6
18,R2C2,30722.78219999862,30957.872799990582,235.09059999196324,760.7149308483404,426.7964268564915,2
19,R3C1,31443.939299992053,32428.733099994133,984.7938000020804,320.7419761521085,676.4827496545847,5
20,R3C2,32673.503099998925,32968.779299990274,295.27619999134913,466.61051548663727,525.1347876095003,2
21,R2C2,33228.07309999189,34255.558899996686,1027.485800004797,512.543589056746,377.48226393048805,5
22,R3C2,34535.522099991795,35307.91909999971,772.3970000079134,497.5464220304924,619.1791648645798,4
